GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06037115101,06,037,31080.0,22483.076973855612,Los Angeles,Los Angeles County,Los Angeles
06037115103,06,037,31080.0,22769.57630087972,Los Angeles,Los Angeles County,Los Angeles
06037115104,06,037,31080.0,22142.797673305606,Los Angeles,Los Angeles County,Los Angeles
06037115202,06,037,31080.0,21532.947909370338,Los Angeles,Los Angeles County,Los Angeles
06037115203,06,037,,22960.042055913837,Los Angeles,Los Angeles County,Los Angeles
06037115204,06,037,,22510.962488024765,Los Angeles,Los Angeles County,Los Angeles
06037115301,06,037,31080.0,22397.453565659314,Los Angeles,Los Angeles County,Los Angeles
06037115302,06,037,31080.0,20551.151240827476,Los Angeles,Los Angeles County,Los Angeles
06037115401,06,037,31080.0,20825.906163613137,Los Angeles,Los Angeles County,Los Angeles
06037115403,06,037,31080.0,20615.81858047787,Los Angeles,Los Angeles County,Los Angeles
06037115404,06,037,31080.0,20551.473711240793,Los Angeles,Los Angeles County,Los Angeles
06037117101,06,037,31080.0,23525.577357564074,Los Angeles,Los Angeles County,Los Angeles
06037117102,06,037,31080.0,24351.57242743845,Los Angeles,Los Angeles County,Los Angeles
06037117201,06,037,31080.0,23665.771773865185,Los Angeles,Los Angeles County,Los Angeles
06037117202,06,037,31080.0,23465.170785512302,Los Angeles,Los Angeles County,Los Angeles
06037117301,06,037,31080.0,23143.182252017865,Los Angeles,Los Angeles County,Los Angeles
06037117302,06,037,31080.0,22533.472570448816,Los Angeles,Los Angeles County,Los Angeles
06037117303,06,037,31080.0,21591.50904403935,Los Angeles,Los Angeles County,Los Angeles
06037117404,06,037,31080.0,21919.22388017204,Los Angeles,Los Angeles County,Los Angeles
06037117405,06,037,31080.0,22714.9212391736,Los Angeles,Los Angeles County,Los Angeles
06037117407,06,037,31080.0,22330.07269587546,Los Angeles,Los Angeles County,Los Angeles
06037117408,06,037,31080.0,21774.530374362486,Los Angeles,Los Angeles County,Los Angeles
06037117510,06,037,31080.0,22929.195513384508,Los Angeles,Los Angeles County,Los Angeles
06037117520,06,037,31080.0,22533.348481536897,Los Angeles,Los Angeles County,Los Angeles
06037117530,06,037,31080.0,21979.017467558773,Los Angeles,Los Angeles County,Los Angeles
06037119001,06,037,31080.0,24443.82107027388,Los Angeles,Los Angeles County,Los Angeles
06037119003,06,037,,25659.171804763762,Los Angeles,Los Angeles County,Los Angeles
06037119004,06,037,,25121.871421966986,Los Angeles,Los Angeles County,Los Angeles
06037119201,06,037,31080.0,24970.41365280775,Los Angeles,Los Angeles County,Los Angeles
06037119202,06,037,31080.0,25841.52987422046,Los Angeles,Los Angeles County,Los Angeles
06037119310,06,037,31080.0,24538.33447264526,Los Angeles,Los Angeles County,Los Angeles
06037119320,06,037,31080.0,23765.492271744435,Los Angeles,Los Angeles County,Los Angeles
06037119340,06,037,31080.0,23272.015152563585,Los Angeles,Los Angeles County,Los Angeles
